data, m, k, r, theta
cbe, 2, 36, 1.22, 5.625

precision, recall, f1_score
0.369, 0.165, 0.228

members, duration
7 8, 1-283 109-361
9 273, 1-247
11 13, 1-223
14 16, 1-223
10 12, 7-271 73-421 241-469
11 12 13, 13-241
19 20, 91-379
10 12 13, 211-451
77 78, 211-445
217 220, 217-457
33 34, 397-655
28 30, 427-697 511-733 547-763
217 219, 445-691 487-703 517-739
82 84, 493-715
82 84 85, 505-817
300 301, 559-985
4 75, 577-835 631-895
82 85, 607-823
316 317, 667-883 679-907
45 46, 751-991
223 224, 763-1003
46 47, 781-1183 1207-1435
224 226, 793-1171
223 224 226, 793-1183
45 46 47, 841-1105
223 226, 973-1201
229 230, 973-1201
90 93, 1021-1249
232 233, 1099-1477 1315-1537 1375-1591 1879-2101 1981-2263 2461-2701 2515-2731 2527-2767 2599-2833
55 56, 1135-1375
222 340, 1213-1429 1225-1441 1327-1591
222 340 343 376, 1231-1447
340 343, 1237-1477 1387-1681 1597-1813 1621-1837
222 340 343, 1237-1537 1387-1603 1399-1681
98 99, 1333-1567 1363-1591 1441-1825
413 414, 1495-1711
345 346, 1531-1843 1645-1981 1789-2071
64 65, 1573-1849 2017-2233
72 103, 1627-1957
222 343, 1633-1849
68 69, 1693-1939
422 423, 1735-1969 1783-2059
71 236, 1759-1981
70 71, 1813-2059 1879-2113 1915-2161
65 104, 1819-2071
70 71 236, 1849-2089
64 66, 2005-2227
244 245, 2017-2563 2359-2713
232 233 238, 2053-2269
118 119, 2053-2293
232 238, 2059-2299 2101-2365 2251-2467 2281-2497 2293-2515 2311-2527 2407-2653 2449-2665 3289-3511
243 245, 2137-2353 2335-2587
115 116, 2245-2581
128 129, 2311-2545 2407-2683
130 133, 2323-2611 2503-2731
129 134, 2347-2575
251 252, 2353-2623
122 131, 2383-2623 2473-2689
130 132 133, 2401-2713 2659-2905
122 124 131, 2413-2671
127 128 129, 2455-2683
324 325, 2461-2719 2767-3025 2827-3067
127 128, 2473-2749
129 132, 2503-2839
127 128 132, 2539-2767
138 141, 2539-2851
130 132, 2545-2785
128 130 132, 2557-2785
127 128 130 132, 2557-2773
128 130 132 133, 2575-2797
127 130 132 133, 2581-2797
128 130 132 133 326, 2587-2851
130 132 133 326, 2587-2869
127 130 132 133 326, 2587-2809
133 326, 2593-2869
127 326, 2605-2845
128 132 133 326, 2641-2857
132 133 326, 2641-2869
253 254, 2671-2941 2773-3019
142 257, 2689-2905 2701-2917
144 277, 2797-3049
146 147, 2869-3211
391 392, 3049-3379
331 332, 3205-3451 3589-3847
393 395, 3331-3547
329 332, 3409-3631 3433-3751
329 331 332, 3421-3643
156 158, 3457-3715 3529-3805
166 167, 3637-3907
165 166 167, 3667-3907
160 399, 3733-3973
335 336, 3733-4003 3799-4087 3883-4105
283 285, 3781-4003
360 361, 3793-4063
362 363, 3901-4183 3979-4285 4159-4429 4597-4993
176 177, 4063-4393
142 432, 4177-4423
193 263, 4585-4801
191 192, 4633-4921
210 211, 4993-5209
208 209, 4993-5245
205 206, 5047-5383
293 294, 5149-5395
