data, m, k, r, theta
gveii, 2, 2, 0.075, 11.25

precision, recall, f1_score
0.28, 0.043, 0.075

members, duration
1 2, 12-31
2 3, 12-31
3 4, 12-31
4 5, 12-31
5 6, 3-23 10-31
6 7, 3-23 10-31
7 8, 3-23 10-31
8 9, 2-23 10-31
9 10, 2-24 10-31
10 11, 2-24 11-31
11 12, 2-24 12-31
12 13, 2-24 12-31
13 14, 2-24 12-31
14 15, 2-24 12-31
15 16, 2-24 13-31
16 17, 2-24 13-31
17 18, 2-24 13-30
18 19, 3-24 13-30
19 20, 3-24 13-29
20 21, 3-24 13-29
21 22, 3-23
22 23, 3-23
23 24, 3-23
24 25, 3-23
25 26, 3-23
26 27, 3-23
27 28, 3-24
28 29, 3-24
29 30, 3-24
30 31, 3-24
31 32, 3-24
32 33, 3-23
