data, m, k, r, theta
gveii, 2, 7.25, 2, 11.25

precision, recall, f1_score
0, 0, 0

members, duration
1647 1648 1649 1650 1651, 293-351
1647 1649 1650 1651, 293-351
1647 1650 1651, 293-351
1647 1651, 293-351
1648 1649 1650 1651, 293-351
1648 1650 1651, 293-351
1648 1651, 293-351
1649 1650 1651, 293-351
1649 1651, 293-351
1650 1651, 293-351
1900 1901 1902 1903 1904 1905 1906, 388-446
1900 1902 1903 1904 1905 1906, 388-446
1900 1903 1904 1905 1906, 388-446
1900 1904 1905 1906, 388-446
1900 1905 1906, 388-446
1900 1906, 388-446
1901 1902 1903 1904 1905 1906, 388-446
1901 1903 1904 1905 1906, 388-446
1901 1904 1905 1906, 388-446
1901 1905 1906, 388-446
1901 1906, 388-446
1902 1903 1904 1905 1906, 388-446
1902 1904 1905 1906, 388-446
1902 1905 1906, 388-446
1902 1906, 388-446
1903 1904 1905 1906, 388-446
1903 1905 1906, 388-446
1903 1906, 388-446
1904 1905 1906, 388-446
1904 1906, 388-446
1905 1906, 388-446
