data, m, k, r, theta
gveii, 2, 4.75, 0.1, 11.25

precision, recall, f1_score
0, 0, 0

members, duration
1638 1639, 295-333
1639 1640, 293-333
1640 1641, 293-333
1641 1642, 293-332
1642 1643, 293-331
1643 1644, 293-333
1644 1645, 293-333
1645 1646, 293-334
1646 1647, 293-334
1647 1648, 293-334
1648 1649, 293-334 311-349
1649 1650, 293-338 311-349
1650 1651, 293-339 310-350
1651 1652, 311-349
1655 1656, 311-349
1656 1657, 311-351
1657 1658, 311-351
1658 1659, 311-351
1659 1660, 311-351
1660 1661, 311-351
1661 1662, 311-351
1662 1663, 311-354
1663 1664, 311-354
1664 1665, 311-354
1665 1666, 311-354
1666 1667, 311-354
1667 1668, 311-354
1668 1669, 311-354
1669 1670, 311-356
1670 1671, 311-356
1671 1672, 311-356
1672 1673, 311-356
1673 1674, 311-356
1674 1675, 311-356
1675 1676, 311-356
1676 1677, 311-356
1677 1678, 311-356
1678 1679, 311-356
1679 1680, 311-356
1680 1681, 311-356
1681 1682, 311-356
1682 1683, 311-351 316-354 318-356
1683 1684, 311-349 318-356
1684 1685, 318-356
1685 1686, 318-356
1704 1705, 325-365
1705 1706, 325-364
1747 1748, 340-385
1748 1749, 340-385
1749 1750, 340-385
1750 1751, 340-385
1751 1752, 340-385
1752 1753, 340-385
1753 1754, 340-385
1754 1755, 340-385
1755 1756, 340-385
1756 1757, 340-385
1757 1758, 340-385
1758 1759, 340-385
1759 1760, 340-386
1760 1761, 340-386
1761 1762, 340-386
1762 1763, 340-386
1763 1764, 340-386
1764 1765, 340-386
1765 1766, 340-391
1766 1767, 340-391
1811 1812, 363-401
1812 1813, 363-401
1813 1814, 363-401
1814 1815, 363-401
1815 1816, 363-401
1816 1817, 363-401
1817 1818, 363-401
1818 1819, 363-401
1819 1820, 363-401
1820 1821, 363-401
1894 1895, 388-444
1895 1896, 388-444
1896 1897, 388-444
1897 1898, 388-444
1898 1899, 388-444
1899 1900, 388-444
1900 1901, 388-439 404-445
1901 1902, 388-435 405-445
1902 1903, 388-434
1905 1906, 388-432
1907 1908, 405-443 408-446
1908 1909, 403-446
1909 1910, 403-446
1910 1911, 403-446
1911 1912, 403-446
1912 1913, 403-446
1913 1914, 403-447
1914 1915, 403-447
1915 1916, 403-447
1916 1917, 403-448
1917 1918, 403-448
1918 1919, 403-448
1919 1920, 403-448
1920 1921, 403-449
1921 1922, 403-449
1922 1923, 403-451
1923 1924, 403-452
1924 1925, 403-452
1925 1926, 403-452
1926 1927, 403-454
1927 1928, 403-454
1928 1929, 403-455
1929 1930, 403-455
1930 1931, 403-455
1931 1932, 403-455
1932 1933, 403-455
1933 1934, 403-455
1934 1935, 403-455
1935 1936, 403-455
1936 1937, 403-455
1937 1938, 403-455
1938 1939, 403-455
1939 1940, 403-455
1940 1941, 403-455
1941 1942, 403-455
1942 1943, 403-455
1943 1944, 403-458
1944 1945, 414-458
1945 1946, 414-458
1946 1947, 414-458
1947 1948, 414-458
1948 1949, 417-458
1949 1950, 417-458
1950 1951, 417-459
1951 1952, 417-459
1952 1953, 417-459
1953 1954, 417-460
1954 1955, 417-460
1955 1956, 417-460
1956 1957, 417-460
1957 1958, 417-460
1958 1959, 417-460
1959 1960, 417-460
1960 1961, 417-460
1961 1962, 417-460
1962 1963, 417-460
1963 1964, 417-461
1964 1965, 417-461
1965 1966, 417-461
1966 1967, 417-461
1967 1968, 417-461
1968 1969, 417-461
1969 1970, 417-461
1970 1971, 417-462
1971 1972, 417-462
1972 1973, 417-462
1973 1974, 417-462
1974 1975, 417-462
1975 1976, 417-462
1976 1977, 417-462
1977 1978, 417-462
1978 1979, 417-463
1979 1980, 417-463
1980 1981, 417-463
1981 1982, 417-466
1982 1983, 417-466
1983 1984, 417-466
1984 1985, 417-466
1985 1986, 417-466
1986 1987, 417-462
1987 1988, 417-455
1990 1991, 417-457
1991 1992, 417-456 421-460
1992 1993, 421-461
1997 1998, 417-461
1998 1999, 417-463
