data, m, k, r, theta, n
gveii, 2, 58, 0.8, 11.25, 1

precision, recall, f1_score
0.252, 0.841, 0.388

members, duration
5 6, 1-107
8 78, 2314-2373
9 10, 1-82 167-266 358-451 413-474 484-544
15 16, 1-98
21 22, 3-95
23 26 27, 1-82
24 25, 1-94
26 27, 1-88
28 29 30, 1-81
29 30, 1-82
34 35, 23-144
36 38, 39-192
37 42, 86-272
43 44, 124-190 223-305
47 61, 276-361
48 61, 167-228
51 52, 217-361
53 54, 264-331
55 56 57, 264-405
56 57, 258-405
60 62 63, 260-338 297-362 321-416
60 62 63 72, 281-354
62 63, 260-416
64 68 69, 269-342 289-358
64 68 69 70 71, 285-346 301-388
64 68 70 71, 331-397
65 67, 260-352
66 67, 263-353
68 69, 269-342 289-364
68 69 70 71, 285-346 307-383
68 69 71, 326-388
68 71, 331-397
70 71, 285-408
73 74, 291-406
75 76, 304-362 429-492
75 76 77, 305-486
76 77, 305-486
79 80, 308-445
84 86, 373-476
87 88, 394-452 414-501 608-679 709-771
89 90, 417-506
91 92, 441-647 607-688 636-792
93 94, 442-512
93 94 95 96, 455-557
94 95 96, 455-565
95 96, 455-568
97 98, 461-528
99 100, 480-545 566-629
101 102, 503-604
104 105, 517-644
108 109, 618-682 640-772
108 109 113, 625-697
112 113, 660-769
114 115, 638-744
116 117, 658-789
118 119, 709-928
120 121 122, 705-772
120 121 122 123, 715-801
121 122, 705-772
121 122 123, 715-824
121 123, 767-839
122 123, 715-868
126 127, 811-891
129 130, 786-953
131 132, 807-865 846-909 1273-1336 1296-1361
131 132 133, 808-877 844-903 1304-1362 1318-1377
131 132 133 134, 820-901
131 133, 855-918 872-968 969-1041 1120-1248 1207-1270 1247-1320 1315-1375 1320-1378
131 133 134, 911-1026 984-1045 1213-1304
132 133, 808-877 844-903 862-926 969-1027 1118-1201 1154-1221 1186-1258 1304-1383
132 133 134, 820-901 869-944 968-1026 1201-1267
132 134, 887-1004 1210-1271
133 134, 911-1026 984-1045 1219-1304 1263-1326
135 136, 803-910
137 138, 827-933
139 140, 828-945
141 142, 950-1114
143 144, 955-1095 1046-1144
145 146, 938-1011
145 146 151 152, 954-1013 969-1042
145 146 152, 956-1026
145 151 152, 985-1043
146 152, 954-1042
148 149, 949-1057
151 152, 954-1052
158 162, 1235-1298
159 160, 1016-1105 1063-1176 1181-1249
159 170, 1421-1481 1433-1503
159 264, 1626-1750 1697-1839
161 162, 1101-1222
163 165, 1012-1144
164 165, 1012-1111
164 165 166, 1054-1149
164 166, 1092-1151
166 167, 1026-1090
166 167 168 169, 1033-1095
167 168 169, 1033-1118 1063-1152
168 169, 1033-1153
170 264, 1428-1488
170 278, 1239-1307
170 398, 1947-2030 2002-2065 2023-2109 2058-2127
171 264, 1618-1681 1919-2003
171 285, 1630-1764 1876-1953
172 173, 1079-1234
174 175, 1078-1247 1270-1340 1300-1389 1469-1533
174 175 204, 1462-1526
174 204, 1340-1400 1349-1413
177 178 179, 1100-1208
178 179, 1100-1208
181 182, 1117-1177 1253-1312
181 182 183, 1120-1270 1244-1310
181 182 183 187, 1213-1301
182 183, 1120-1310
184 185, 1120-1232
186 187, 1216-1301
188 192 193, 1177-1265
188 193, 1172-1234
192 193, 1172-1361
194 195, 1171-1240
194 195 197 198, 1241-1308
194 195 198, 1183-1298
195 197 198, 1241-1308
195 198, 1183-1298
196 197, 1185-1313
199 200, 1188-1309
201 202, 1187-1263 1226-1344 1328-1422 1377-1438 1393-1463 1418-1601
207 208, 1229-1330
209 210, 1233-1397
211 212, 1236-1336
213 214, 1229-1401
215 216, 1245-1403
217 218, 1230-1358
221 222, 1265-1328 1325-1384
223 224, 1279-1349 1324-1399 1365-1432
223 224 227, 1292-1381 1342-1422
224 227, 1320-1380 1342-1422
225 226, 1280-1412
233 234, 1224-1338
235 236, 1340-1477
237 242 243, 1428-1492
238 239, 1366-1473
240 241, 1378-1518
240 241 261, 1461-1524
241 261, 1461-1527
242 243, 1384-1508
245 246, 1405-1535
247 248, 1419-1573 1640-1762
249 251, 1413-1473
249 251 252, 1416-1481
249 252, 1424-1511
251 252, 1416-1507
254 255, 1433-1560
256 258 259, 1436-1617
258 259, 1436-1618
263 269 274, 1484-1572
265 266, 1492-1563 1595-1689 1641-1701 1671-1737 1823-1903 1919-1990 1936-2011 1985-2086 2034-2106
265 266 267, 1506-1622 1582-1641 1587-1652 1632-1698 1732-1880 2049-2142
265 267, 1728-1789 2085-2152 2108-2173
266 267, 1463-1541 1506-1652 1632-1697
267 373, 1879-1939
269 274, 1481-1579
271 272, 1463-1535 1506-1656 1600-1708 1730-1790 1842-1920
271 272 279 280, 1478-1563
272 279 280, 1478-1561
275 276, 1500-1664
277 278, 1541-1606 1566-1626 1718-1784 2020-2078
279 280, 1478-1625
281 282, 1494-1675 1663-1729 1679-1789 1816-1881
281 282 353, 1794-1873
281 353, 1786-1851
283 284, 1527-1593 1544-1604
283 284 291, 1536-1601
284 291, 1536-1601
284 291 293 294, 1588-1665
284 291 293 294 295, 1573-1636 1583-1645
285 395, 1898-1987
287 307, 1600-1658
287 310, 1588-1655
289 290, 1565-1632
291 293, 1547-1607 1651-1710
291 293 294, 1550-1623 1588-1708
291 293 294 295, 1566-1645
293 294, 1550-1623 1588-1708
293 294 295, 1566-1645
295 301, 1623-1681 1681-1751 1705-1783 1786-1857 1928-1987
295 301 302 303, 1622-1680
296 297, 1620-1709
298 299, 1611-1684 1640-1706 1658-1774
298 304 305 306, 1651-1710
298 305 306, 1649-1708
301 302 303, 1613-1680
302 303, 1604-1743
304 305, 1616-1693 1678-1754 1710-1784
304 305 306, 1636-1735 1697-1767
305 306, 1636-1735
308 309 310, 1571-1652
309 310, 1571-1638
311 312, 1562-1632
311 312 313 314 315, 1575-1634
311 312 313 314 315 316 330, 1577-1648
311 312 313 314 315 316 330 331 332, 1600-1660
311 312 313 314 315 316 330 331 332 349 350, 1649-1708 1657-1719
311 312 313 314 315 316 330 332, 1598-1657 1629-1706
311 312 313 316 330 331 332, 1603-1664
311 312 314 315 316 330 331 332 340 341, 1719-1793
311 312 330 331 332, 1673-1735 1687-1776
311 312 330 331 332 336, 1678-1744
311 312 330 331 332 349 350, 1651-1714 1662-1730
311 312 330 332, 1620-1686
311 312 332, 1591-1655 1607-1677
312 313 314 315, 1575-1634
312 313 314 315 316 330, 1577-1648 1598-1657
312 313 314 315 316 330 331, 1600-1660
312 313 314 315 316 330 331 332 349 350, 1649-1708 1657-1719
312 313 314 315 316 330 332, 1629-1706
312 313 316 330 331, 1603-1664
312 314 315 316 330 331 332 340 341, 1719-1797
312 330 331 332, 1673-1735 1687-1776
312 330 331 332 336, 1678-1744
312 330 331 332 349 350, 1651-1714 1662-1730
312 330 332, 1620-1686
313 314, 1566-1626
313 314 315, 1569-1634
313 314 315 316 330, 1577-1657 1607-1670
313 314 315 316 330 331, 1600-1660
313 314 315 316 330 331 332, 1613-1676 1673-1755
313 314 315 316 330 331 332 340 341, 1715-1804
313 314 315 316 330 331 332 340 341 352 353, 1698-1771
313 314 315 316 330 331 332 340 341 353, 1714-1772
313 314 315 316 330 331 332 349 350, 1649-1730
313 314 315 316 330 331 340 341, 1747-1808
313 314 315 316 330 332, 1619-1706
313 314 315 316 340 341, 1751-1812
313 315 316, 1755-1814
313 316, 1757-1815
313 316 330 331, 1603-1664
313 316 340 341, 1758-1823
314 315, 1569-1634
314 315 316, 1577-1657 1607-1755
314 315 316 330 331 332 340 341, 1715-1804
314 315 316 330 331 332 340 341 352 353, 1708-1771
314 315 316 330 331 332 340 341 353, 1714-1772
314 315 316 330 331 340 341, 1747-1808
314 315 316 331, 1600-1664
314 315 316 340 341, 1751-1812
314 315 316 340 341 352 353, 1698-1765
315 316, 1596-1655 1607-1755 1753-1814
315 316 340 341, 1715-1810
315 316 340 341 352 353, 1698-1771
315 316 340 341 353, 1714-1772
316 331, 1600-1664
316 340 341, 1762-1824
317 319, 1577-1646
317 319 320 321, 1590-1674 1623-1694
317 319 321, 1589-1647
319 320 321, 1590-1699
319 321, 1589-1647
320 321, 1590-1699
322 323, 1594-1726
322 323 336, 1669-1737
323 336, 1669-1743
325 326, 1658-1750
325 326 327, 1588-1715
325 327, 1586-1645
326 327, 1588-1715
328 329, 1600-1703 1653-1711
329 339, 1654-1715
330 331, 1747-1808
330 331 332, 1613-1676 1673-1804
330 331 332 349 350, 1649-1730
330 332, 1619-1706
331 332, 1647-1705 1673-1804
331 332 349 350, 1648-1730
333 334 338, 1645-1709
333 338, 1615-1702
333 338 339, 1611-1672
333 339, 1607-1668
335 336, 1594-1752
337 338, 1642-1719
337 338 339, 1616-1699
340 341, 1613-1735 1715-1837
340 341 352 353, 1680-1771
340 341 353, 1678-1737 1714-1772
341 353, 1682-1767
342 343, 1622-1792
344 346, 1631-1701 1668-1791
344 346 350, 1644-1725
345 346, 1631-1707 1668-1794
345 346 350, 1650-1725
346 350, 1650-1725
347 348, 1632-1699 1721-1783 1732-1796 1799-1863 1810-1888 1867-1925
348 447, 1947-2006
349 350, 1647-1732 1693-1783
352 353, 1653-1762 1752-1871
357 358, 1664-1813
359 360 361, 1683-1779
359 360 361 363 364 368 369, 1744-1812
359 360 361 364 368 369, 1722-1801
359 361, 1672-1740
360 361, 1672-1779
360 361 363 364 368 369, 1744-1823
360 361 364 368 369, 1722-1801
361 363 364 368 369, 1744-1823
361 364 368 369, 1722-1801
363 364, 1699-1764
363 364 368 369, 1707-1834
364 368 369, 1707-1839
365 366, 1730-1807
365 366 367, 1750-1809
365 367, 1752-1840
368 369, 1707-1847
371 372, 1720-1810 1765-1969 1917-1985
371 372 373, 1753-1822
372 373, 1753-1822
373 488, 2098-2190
373 625, 2247-2322
373 625 626, 2265-2327 2322-2399
373 625 626 630, 2321-2379 2342-2400
373 626, 2309-2368
373 626 630, 2319-2378
373 630, 2271-2331
374 375, 1716-1819
374 376 383 384 385 386, 1839-1899
376 383 384 385 386, 1795-1901
376 384, 1741-1831
376 384 385 386, 1774-1837 1788-1852
377 378, 1733-1829
379 380, 1730-1913
383 384, 1741-1831
383 384 385 386, 1774-1913
384 385 386, 1774-1913
385 386, 1765-1928
389 390, 1753-1929
391 392, 1778-1854 1814-1874
391 392 396, 1797-1855
391 392 396 397, 1798-1869 1817-1901 1849-1908 1856-1972
391 392 397, 1812-1871 1844-1906 1851-1913
392 396, 1797-1855
392 396 397, 1798-1869 1817-1901 1849-1908 1856-1925 1874-1972
393 394, 1780-1838
393 394 395, 1781-1917
394 395, 1781-1917 1904-1968 1913-1980
396 397, 1798-1989
399 400, 1810-2018 2010-2099 2052-2211 2160-2218
401 425, 1835-1899
401 425 427, 1842-1901
401 425 427 428 429, 1846-1913
401 425 427 428 429 433 434 435, 1859-1921
401 425 427 428 429 433 434 435 436, 1864-1925
401 425 427 428 429 433 434 435 436 437, 1868-1927
401 425 427 428 429 433 434 435 436 437 438, 1870-1975
401 425 427 428 429 433 435, 1856-1916
401 425 427 428 429 434 435 437 438, 1918-1982
401 425 427 428 429 435 438, 1925-2007
401 425 427 429, 1844-1903
401 427 428 429 435 438, 1950-2009
403 404, 1817-1910
403 404 405 406, 1906-1984
403 404 405 406 411 412, 1897-1963
403 404 405 406 412, 1927-1991
403 404 406, 1853-1912
403 404 406 411, 1855-1913
403 404 406 411 412, 1856-1954
404 406, 1906-1978
404 406 411 412, 1895-1961
405 406, 1841-1912 1906-1984 1941-2009
405 406 411, 1855-1913
405 406 411 412, 1856-1963
405 406 412, 1927-1998
406 411, 1855-1913
406 411 412, 1856-1963
406 412, 1927-1998
407 408, 1845-1906
407 408 409 410, 1911-1984
407 408 409 410 412, 1936-1994
407 408 410, 1849-1911 1865-1928 1897-1968
408 409 410, 1911-1988
408 409 410 412, 1931-1994
408 410, 1849-1929 1897-1968
409 410, 1905-1988
409 410 411 412, 1937-1997
409 410 412, 1931-1994
410 411 412, 1937-1999
411 412, 1856-2008
414 415, 1915-2022
417 418, 1875-1948 1917-2020 1972-2030
417 418 443, 1891-1974
418 443, 1891-1974
419 420 421, 1880-1938
419 420 421 422, 1881-1957 1967-2030
419 420 421 422 444 445, 1900-2024
419 421, 1879-1937 1973-2037
420 421 422 444 445, 1915-1987
421 422, 1881-1957 1967-2030
421 422 444 445, 1900-2024
422 444 445, 1955-2015
422 445, 1900-2012
423 424, 1894-1970 1976-2036 2035-2169 2120-2220 2166-2230
423 424 445 446, 1917-2002
423 424 446, 1913-1974 1945-2033
424 446, 1913-2033
425 428 429, 1846-1913
425 428 429 434 435 436 437 438, 1872-1943
425 428 429 435, 1856-1927
425 428 429 435 438, 1870-1929 1886-1944
425 429, 1844-1903 1887-1953
425 429 435 438, 1896-1975
427 428 429, 1846-1913
427 428 429 433 434 435, 1859-1921
427 428 429 433 434 435 436, 1864-1925
427 428 429 433 434 435 436 437, 1868-1927
427 428 429 433 434 435 436 437 438, 1870-1975
427 428 429 433 435, 1856-1916
427 428 429 434 435 437 438, 1918-1982
427 428 429 435 438, 1925-2026
428 429, 1846-1913
428 429 434 435 436 437 438, 1872-1943 1893-1973
428 429 434 435 437 438, 1916-1982
428 429 435, 1856-1927
428 429 435 438, 1870-1929 1886-1950 1925-2026
429 435 438, 1896-2004
430 432, 1853-2010
431 432, 1853-2008
433 434 435, 1859-1921
433 434 435 436, 1864-1925
433 434 435 436 437, 1868-1927
433 434 435 436 437 438, 1870-2043
434 435, 1859-1921
434 435 436, 1864-1925
434 435 436 437, 1868-1927
434 435 436 437 438, 1870-1973 1965-2045
434 435 437 438, 1916-2022
435 438, 1870-2045
436 437, 1868-1927
436 437 438, 1870-2056
437 438, 1870-2058
439 440, 1881-2011
441 442, 1858-1998 1970-2087 2090-2167 2151-2212 2197-2272
443 454, 2113-2186 2136-2205
443 455, 2087-2166
444 445, 1900-2045
448 449, 1922-2071
451 452, 1926-2093
453 454, 1928-1995
454 455, 1943-2066 2048-2138
456 457, 1943-2077
459 460, 1963-2038 1993-2059 2019-2078
459 460 463, 1981-2048 2004-2076
459 460 463 480, 1991-2050 2002-2061
459 460 479 480, 2043-2128
459 460 479 480 481 482, 2036-2100
459 460 480, 2021-2093
460 479 480, 2043-2128
460 479 480 481 482, 2036-2100
460 480, 2022-2093
461 462, 1978-2053
461 462 463, 2004-2119
461 462 463 480, 1996-2061
462 463, 2004-2129
462 463 480, 1996-2061
463 480, 1991-2061
464 465, 1981-2043
464 465 466, 1986-2045
464 465 466 467, 1988-2049
464 465 466 467 468, 1992-2058
464 465 466 467 468 470, 2001-2062
