data, m, k, r, theta, n
gveii, 2, 38, 1, 11.25, 1

precision, recall, f1_score
0.168, 0.932, 0.285

members, duration
3 4, 1-48
5 6, 1-107
7 45, 298-344
9 10, 1-40 14-58 37-96 168-254 375-428 414-454 502-546
13 14, 1-43
15 16, 1-98
17 355, 1666-1708
20 21 22, 1-45
21 22, 1-95
23 26 27, 1-78
24 25, 18-75 51-94
24 25 26 27, 1-55 38-88
25 26 27, 1-55 38-88
26 27, 1-88
28 29 30, 1-81
29 30, 1-82
31 32, 1-101
34 35, 23-144
36 38, 39-112 102-192
37 42, 86-272
43 44, 124-169 147-204 206-305
47 61, 218-296 296-361
48 61, 167-211 181-230
49 230, 1369-1426
51 52, 217-361
53 54, 233-331
55 56 57, 258-405
56 57, 258-405
60 62, 320-365
60 62 63, 260-318 312-357 328-416
60 62 63 72, 281-323 308-349
60 62 63 72 73, 286-328
60 62 63 72 73 74, 291-345
62 63, 260-323 308-357 328-416
62 63 73, 286-328
62 63 73 74, 291-345
63 73, 286-328
63 73 74, 291-345
64 68, 269-307 310-357
64 68 69, 270-322 299-338 302-347
64 68 69 70, 285-325
64 68 69 70 71, 288-336 301-339 323-388
64 68 70 71, 351-394
64 68 70 71 72, 357-397
64 68 71, 320-360
65 66, 242-297
65 66 67, 260-314
65 67, 277-352
66 67, 260-353
68 69, 270-322 299-347
68 69 70, 285-325
68 69 70 71, 288-336 330-375
68 69 71, 323-367 338-388
68 71, 320-360 351-394
68 71 72, 357-397
70 71, 288-394 370-408
70 71 72, 357-407
71 72, 357-407
72 73, 286-324
73 74, 291-406
75 76, 304-342 452-492
75 76 77, 305-467 437-489
75 76 77 84 86, 430-474
76 77, 305-467 437-489
76 77 84 86, 430-474
77 84 86, 430-474
79 80, 308-445
83 84, 366-410
83 84 86, 373-417
84 86, 373-475
87 88, 394-439 416-497 488-537 606-681 717-771
89 90, 417-506
91 92, 441-617 627-792
93 94, 442-492
93 94 95 96, 455-538 505-557
93 94 96, 501-542
94 95 96, 455-518 505-562
94 96, 481-542 525-565
95 96, 455-568
97 98, 461-579 570-621 591-631 595-655
99 100, 480-552 574-629
101 102, 503-541 535-604
101 102 103, 504-572
104 105, 517-637
108 109, 607-662 656-772
108 109 113, 625-693
112 113, 625-769
114 115, 638-793
116 117, 658-789
118 119, 722-928
120 121 122, 705-752
120 121 122 123, 715-809
120 121 123, 809-868
121 122, 705-752
121 122 123, 715-828
121 123, 791-872
122 123, 715-862
126 127, 816-891
129 130, 786-854 827-869 833-915 908-953
129 130 133, 817-857 824-864 832-870
129 130 133 134, 820-861
129 130 139 140, 878-945
130 133, 817-857 824-864 832-870
130 133 134, 820-861
130 139 140, 878-945
131 132, 807-845 861-908 1279-1317 1315-1357
131 132 133, 808-857 840-892 856-898 969-1007 1196-1234 1199-1251 1320-1359
131 132 133 134, 820-865 829-877 970-1008 1197-1236 1214-1255 1322-1360
131 132 133 134 139 140, 828-866
131 132 134, 879-920 1280-1318
131 133, 855-893 971-1021 1135-1230 1239-1279 1258-1307 1327-1378
131 133 134, 890-1006 984-1025 1226-1276 1323-1364
131 133 201, 1242-1295
131 134, 1272-1315
132 133, 808-857 840-887 856-898 969-1007 1136-1194 1191-1234 1199-1251 1320-1359 1327-1383
132 133 134, 820-865 829-877 884-949 941-980 970-1008 1197-1236 1214-1266 1322-1364
132 133 134 139 140, 828-866
132 134, 873-921 912-978 943-985 1229-1267 1280-1319
132 161, 1072-1110
133 134, 820-861 884-1006 984-1025 1215-1276 1322-1364
133 161, 1073-1111
134 139 140, 828-866
135 136, 803-910
137 138, 827-933
139 140, 828-945
141 142, 968-1020 986-1114
143 144, 940-1016 995-1049 1019-1062 1031-1144
145 146, 938-991
145 146 151 152, 954-1020 998-1042
145 146 152, 983-1035
145 151 152, 1005-1043
146 152, 954-1042
148 149, 949-1057
151 152, 954-1052
158 162, 1255-1293
159 160, 1016-1085 1083-1174 1145-1186 1171-1231
159 160 170, 1194-1235
159 160 170 171, 1198-1240
159 160 171, 1203-1245
159 170, 1423-1462 1434-1497 1974-2016
159 170 398, 1970-2011
159 171, 1613-1663
159 264, 1581-1627 1632-1681 1647-1739 1707-1803 1773-1825
160 170, 1194-1235
160 170 171, 1198-1240
160 171, 1151-1190 1203-1265
161 162, 1027-1079 1110-1152 1126-1203
163 164 165, 1045-1089
163 164 165 166, 1052-1096
163 165, 1012-1082 1059-1144
164 165, 1012-1089
164 165 166, 1052-1149
164 166, 1112-1151
166 167, 1026-1067
166 167 168 169, 1033-1088
166 167 169, 1030-1070
167 168 169, 1033-1152
167 169, 1030-1070
168 169, 1033-1153
170 264, 1430-1469
170 278, 1258-1300
170 398, 1957-2011 2005-2059 2054-2116
170 398 458, 2093-2133
170 458, 2092-2130
171 264, 1626-1664 1630-1674 1750-1794 1929-2003
171 264 285, 1627-1667
171 285, 1640-1726 1696-1782 1797-1882 1849-1938
171 285 395, 1901-1962
172 173, 1079-1234
174 175, 1078-1227 1290-1340 1320-1371 1489-1533
174 175 204, 1479-1526
174 204, 1340-1380 1349-1393
175 204, 1477-1526
177 178 179, 1100-1157 1121-1208
177 178 179 185, 1120-1158
178 179, 1100-1208
181 182, 1117-1157 1273-1312
181 182 183, 1120-1250 1218-1274 1255-1310
181 182 183 186, 1213-1255
181 182 183 187, 1237-1292
182 183, 1120-1310
184 185, 1120-1232
186 187, 1144-1202 1240-1301
188 192 193, 1178-1243 1220-1258
188 192 193 203, 1221-1263
188 193, 1172-1215
189 190, 1190-1228
192 193, 1172-1258 1253-1343 1539-1577
192 193 203, 1221-1290
193 203, 1221-1290
194 195, 1171-1220
194 195 197 198, 1185-1256 1239-1308
194 195 198, 1183-1222 1219-1276
195 197 198, 1185-1256 1239-1308
195 198, 1183-1222 1219-1276
196 197, 1229-1295
196 197 198, 1185-1266 1258-1313
197 198, 1185-1266 1258-1314
199 200, 1188-1309
201 202, 1187-1250 1238-1278 1264-1324 1332-1412 1414-1460 1435-1601
207 208, 1229-1314
207 208 211 212, 1277-1330
208 211 212, 1277-1331
209 210, 1233-1310 1290-1394
209 210 220, 1273-1327
209 210 225 226, 1357-1397
209 225 226, 1360-1407
210 226, 1358-1397
211 212, 1236-1336
213 214, 1229-1401
215 216, 1245-1403
217 218, 1230-1358
221 222, 1265-1309 1279-1319 1290-1333 1316-1384
221 222 223, 1272-1316
222 223, 1272-1316
223 224, 1283-1333 1308-1359 1385-1432
223 224 227, 1296-1345 1322-1422
224 227, 1332-1422
225 226, 1280-1412
233 234, 1224-1283 1251-1338
235 236, 1340-1477
238 239, 1366-1478
240 241, 1378-1501
240 241 260 261, 1469-1519
240 241 261, 1464-1506 1482-1524
241 261, 1464-1527
242 243, 1384-1508
245 246, 1405-1535
247 248, 1419-1466 1441-1553 1662-1762
247 248 254, 1429-1470
247 248 254 255, 1433-1478
247 304 305 306, 1725-1763
248 254, 1429-1470
248 254 255, 1433-1474
249 250 251, 1413-1453
249 250 251 252, 1416-1471
249 251 252, 1434-1507
249 252, 1470-1511
251 252, 1416-1507
254 255, 1433-1560
256 258 259, 1436-1617
258 259, 1436-1618
263 269, 1505-1544 1513-1552
263 269 274, 1492-1542 1515-1572
265 266, 1496-1554 1607-1674 1648-1689 1689-1739 1829-1898 1903-1970 1937-1990 2005-2077 2070-2108 2095-2141
265 266 267, 1517-1566 1538-1602 1637-1685 1744-1866 2071-2132
265 266 267 400, 2059-2099
265 266 400, 2062-2107
265 267, 1529-1575 1704-1742 1720-1781 1933-1974 2046-2096 2123-2173
266 267, 1480-1525 1517-1632 1637-1682 1729-1771 2072-2128
266 399 400, 2112-2150
267 373, 1877-1930
269 270, 1471-1518
269 270 272 274 279 280, 1485-1523
269 270 274, 1481-1522
269 274, 1486-1542 1515-1579
270 272 279 280, 1485-1527
270 274, 1537-1580
271 272, 1463-1515 1524-1612 1581-1654 1623-1688 1730-1769 1845-1920
271 272 279 280, 1478-1561
271 272 288, 1575-1618
272 279 280, 1478-1560
272 280, 1523-1561
272 288, 1575-1618
273 308 309 310, 1608-1652
273 310, 1616-1655
275 276, 1500-1556 1527-1664
275 276 283, 1519-1564
277 278, 1156-1196 1167-1205 1561-1606 1585-1628 2019-2057
279 280, 1478-1625
281 282, 1494-1608 1579-1655 1683-1730 1696-1773 1786-1826 1836-1881
281 282 291 293 294 295, 1571-1616
281 282 301, 1736-1780
281 282 353, 1806-1873
281 301, 1743-1802
