data, m, k, r, theta
seq_eth, 2, 10.5, 1, 5.625

precision, recall, f1_score
0.298, 0.523, 0.38

members, duration
4 5, 846-990
3 6, 852-954
11 12, 1074-1164 1122-1212
11 13, 1080-1248
14 15, 1086-1194
17 20, 1122-1224
18 20, 1122-1248
15 16, 1146-1248
14 18, 1170-1242
33 34, 1536-1620
41 42, 2124-2262 2220-2292
42 43, 2130-2268 2220-2292
42 44, 2142-2232 2220-2286
41 44, 2196-2262
41 42 44, 2202-2268
53 54, 2862-2928
59 60, 3006-3144
70 71, 4199-4361
71 72, 4199-4301 4247-4313 4265-4331
72 73, 4199-4361
74 75, 4223-4379
75 76, 4223-4379
84 85, 4631-4721
88 89, 4727-4871
92 93, 4805-4967
93 94, 4883-4979
104 105, 5111-5189
106 107, 5111-5189
109 110, 5111-5291
103 104, 5117-5189
121 122, 6227-6371
126 127, 6419-6497
130 131, 6863-6947
138 139, 6887-7031
142 143, 6977-7133
145 146, 7301-7433
153 154, 7457-7601
180 181, 8397-8553
182 183, 8397-8529
178 179, 8409-8517
178 182, 8421-8517
187 188, 8457-8625
183 184, 8457-8535
185 186, 8517-8583 8535-8601
192 193, 8709-8817
196 197, 8919-9075
202 203, 8973-9141
210 211, 9105-9207 9183-9267
212 214, 9237-9345
213 214, 9255-9363
227 228, 9627-9735
230 231, 9681-9801 9771-9843
239 240, 9915-10095
241 242, 9915-10041
237 238, 9927-10059 10005-10089
238 239, 9999-10089
245 246, 10101-10203
247 248, 10101-10191
248 249, 10101-10185 10149-10215
246 249, 10101-10203
252 253, 10197-10329
255 256, 10221-10389
250 256, 10239-10389
258 259, 10251-10413 10377-10443
257 260, 10257-10413
252 254, 10275-10353
266 267, 10299-10479
267 268, 10299-10509
265 266 270, 10299-10413 10359-10425
266 270, 10299-10455
263 264, 10299-10497 10443-10515 10461-10665
261 262, 10305-10389 10335-10401
257 261, 10347-10419
265 266, 10353-10419 10365-10443 10395-10461
275 278, 10365-10431 10437-10665
275 278 279, 10377-10461
278 279, 10377-10473
265 267, 10443-10509
278 283, 10455-10665
300 301, 10665-10767
301 302, 10683-10767
303 304, 10701-10887
309 310, 10779-10917
307 308, 10779-10923
308 309, 10779-10929
311 312, 10809-10953
313 314, 10809-10971
309 312, 10827-10929
321 322, 11235-11403
322 323, 11247-11337 11283-11415
320 324, 11271-11373 11331-11397
325 326, 11283-11457
328 329, 11283-11481
326 327, 11283-11385 11367-11451
325 329, 11295-11361
327 328, 11313-11379 11367-11451
327 328 329, 11319-11427 11391-11475
326 327 329, 11325-11427 11391-11457
326 329, 11367-11451
332 333, 11385-11505
334 335 336, 11391-11457
336 337, 11391-11613
337 338, 11391-11613
334 335, 11397-11613
334 336, 11397-11613
343 344, 11859-11991
346 347, 11871-12033
342 345, 11895-12015
351 352, 11937-12033 11985-12051
352 353, 11937-12105
357 358, 12021-12129 12075-12381
360 361, 12201-12345
362 363, 12219-12357
364 365, 12243-12375
